src_ip,dst_ip,protocol,dst_port,packet_length
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1313
17.248.223.65,10.129.219.246,TCP,61872,97
17.248.223.65,10.129.219.246,TCP,61872,97
10.129.219.246,17.248.223.65,TCP,443,78
10.129.219.246,17.248.223.65,TCP,443,203
10.129.219.246,17.248.223.65,TCP,443,1003
10.129.219.246,17.248.223.65,TCP,443,97
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61872,101
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61872,66
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,142.250.66.78,TCP,443,54
142.250.66.78,10.129.219.246,TCP,53525,66
13.107.5.93,10.129.219.246,TCP,53540,60
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,987
17.248.223.65,10.129.219.246,TCP,61872,97
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,31.13.87.53,TCP,443,135
